instructor,course,quarter,year,nLetterStudents,nPNPStudents,Students,avgGPA,dept
ABAZA G M,ANTH    117,Summer,2020,21,0,21,3.47,ANTH
ABBATE E C,ECON      5,Fall,2021,140,0,140,2.82,ECON
ABBATE E C,ECON      5,Fall,2022,122,0,122,2.78,ECON
ABBATE E C,ECON    135,Winter,2022,112,0,112,2.98,ECON
ABDOLEE R,ECE     188A,Fall,2019,46,0,46,3.99,ECE
ABDOLEE R,ECE     188A,Fall,2020,62,0,62,3.91,ECE
ABDOLEE R,ECE     188A,Fall,2021,70,0,70,3.94,ECE
ABDOLEE R,ECE     188C,Spring,2020,46,0,46,3.94,ECE
ABDOLEE R,ECE     188C,Spring,2021,62,0,62,3.64,ECE
ABDOLEE R,ECE     188C,Spring,2022,70,0,70,3.88,ECE
ABDOLEE R,ECE     188B,Winter,2020,46,0,46,3.82,ECE
ABDOLEE R,ECE     188B,Winter,2021,62,0,62,3.88,ECE
ABDOLEE R,ECE     188B,Winter,2022,70,0,70,3.86,ECE
ABMAN Z,HIST     46B,Summer,2020,36,0,36,3.47,HIST
ABNEY D P,PHIL      3,Spring,2020,237,0,237,3.49,PHIL
ABNEY D P,PHIL      4,Summer,2020,139,0,139,3.34,PHIL
ABRA G J,SOC     174,Fall,2019,88,0,88,3.46,SOC
ABRA G J,SOC     174,Spring,2021,75,0,75,3.47,SOC
ABRA G J,SOC     174,Spring,2022,71,0,71,2.94,SOC
ABRA G J,COMM    182,Fall,2019,37,0,37,3.73,COMM
ABRA G J,COMM    142,Fall,2019,94,0,94,3.46,COMM
ABRA G J,COMM    142,Spring,2022,74,0,74,3.25,COMM
ABRA G J,COMM    142,Spring,2023,77,0,77,3.24,COMM
ABRA G J,COMM    142,Summer,2023,24,0,24,2.73,COMM
ABRA G J,SOC     172,Fall,2020,93,0,93,3.95,SOC
ABRA G J,SOC     172,Fall,2021,82,0,82,3.19,SOC
ABRA G J,SOC     172,Spring,2020,107,0,107,3.87,SOC
ABRA G J,SOC     172,Winter,2021,89,0,89,3.70,SOC
ABRA G J,COMM    177,Fall,2020,83,0,83,3.80,COMM
ABRA G J,COMM    177,Spring,2020,113,0,113,3.96,COMM
ABRA G J,COMM    177,Spring,2023,70,0,70,3.30,COMM
ABRA G J,COMM    177,Summer,2020,47,0,47,3.88,COMM
ABRA G J,COMM    177,Summer,2021,42,0,42,3.52,COMM
ABRA G J,COMM    177,Summer,2022,18,0,18,3.06,COMM
ABRA G J,COMM    177,Winter,2022,71,0,71,3.32,COMM
ABRA G J,COMM    177,Winter,2023,68,0,68,3.11,COMM
ABRA G J,COMM    164,Fall,2020,86,0,86,3.88,COMM
ABRA G J,COMM    164,Fall,2021,133,0,133,3.42,COMM
ABRA G J,COMM    164,Fall,2022,42,0,42,3.53,COMM
ABRA G J,COMM    164,Spring,2020,99,0,99,3.98,COMM
ABRA G J,COMM    180,Fall,2022,8,0,8,3.25,COMM
ABRA G J,COMM    181B,Spring,2021,16,0,16,3.96,COMM
ABRA G J,COMM    150,Spring,2021,74,0,74,3.74,COMM
ABRA G J,COMM    150,Spring,2022,72,0,72,3.42,COMM
ABRA G J,COMM    150,Spring,2023,77,0,77,2.89,COMM
ABRA G J,COMM    150,Summer,2020,46,0,46,3.91,COMM
ABRA G J,COMM    150,Summer,2021,41,0,41,3.38,COMM
ABRA G J,COMM    150,Summer,2022,9,0,9,2.59,COMM
ABRA G J,COMM    150,Winter,2020,161,0,161,3.92,COMM
ABRA G J,COMM    150,Winter,2021,158,0,158,3.88,COMM
ABRA G J,COMM    150,Winter,2022,76,0,76,2.96,COMM
ABRA G J,COMM    150,Winter,2023,77,0,77,2.97,COMM
ABRA G J,SOC     173,Winter,2020,89,0,89,3.06,SOC
ABRA G J,SOC     173,Winter,2022,77,0,77,3.02,SOC
ABRA G J,COMM    181A,Winter,2021,17,0,17,3.96,COMM
ABRA G J,COMM    181A,Winter,2023,6,0,6,4.00,COMM
ABRA G J,COMM    176,Winter,2021,80,0,80,3.88,COMM
ABRAMS A S,CHEM    147,Spring,2022,79,0,79,2.94,CHEM
ABRAMSON T L,FEMST   186AD,Fall,2021,29,0,29,3.82,FEMST
ABRAMSON T L,FEMST   131,Winter,2023,33,0,33,3.84,FEMST
ABU-OMAR M,CHEM    596,Fall,2019,9,0,9,3.77,CHEM
ABU-OMAR M,CHEM    596,Fall,2020,7,0,7,3.90,CHEM
ABU-OMAR M,CHEM    596,Spring,2020,9,0,9,4.00,CHEM
ABU-OMAR M,CHEM    596,Winter,2020,8,0,8,3.93,CHEM
ABU-OMAR M,CHEM    596,Winter,2021,7,0,7,3.90,CHEM
ABU-OMAR M,CHEM      2A,Fall,2019,52,0,52,3.83,CHEM
ABU-OMAR M,CHEM      2A,Fall,2020,47,0,47,3.94,CHEM
ABU-OMAR M,CHEM      2A,Fall,2021,44,0,44,3.38,CHEM
ABU-OMAR M,CHEM      2A,Fall,2022,55,0,55,3.30,CHEM
ABU-OMAR M,CHEM    275,Spring,2020,9,0,9,4.00,CHEM
ABU-OMAR M,CHEM    175,Spring,2020,13,0,13,3.98,CHEM
ABU-OMAR M,CHEM      2CC,Spring,2022,35,0,35,3.84,CHEM
ABU-OMAR M,CHEM      2C,Spring,2022,40,0,40,3.86,CHEM
ABU-OMAR M,CHEM    271,Winter,2020,9,0,9,3.67,CHEM
ABU-OMAR M,CHEM    271,Winter,2021,10,0,10,3.91,CHEM
ABU-OMAR M,CHEM    171,Winter,2020,25,0,25,3.74,CHEM
ABU-OMAR M,CHEM    171,Winter,2021,18,0,18,3.80,CHEM
ABU-OMAR M,CHEM    173B,Winter,2021,56,0,56,3.31,CHEM
ABU-OMAR M,CHEM    173B,Winter,2022,63,0,63,3.19,CHEM
ABU-OMAR M,CHEM    173B,Winter,2023,63,0,63,3.21,CHEM
ABU-OMAR M,CHEM    268B,Winter,2023,5,0,5,3.32,CHEM
ABURQAYEQ G M,C LIT    32,Summer,2020,20,0,20,3.23,C
ACEVEDO B P,MCDB    111,Spring,2022,179,0,179,3.01,MCDB
ACKERT E S,GEOG    108,Fall,2019,53,0,53,3.37,GEOG
ACKERT E S,GEOG    108,Fall,2021,48,0,48,3.24,GEOG
ACKERT E S,GEOG    108,Fall,2022,48,0,48,3.28,GEOG
ACKERT E S,GEOG      5,Fall,2020,286,0,286,3.43,GEOG
ACKERT E S,GEOG      5,Spring,2020,208,0,208,3.22,GEOG
ACKERT E S,GEOG      5,Winter,2021,238,0,238,3.45,GEOG
ACKERT E S,GEOG    254,Winter,2022,5,0,5,3.94,GEOG
ACKLEY C R,INT      93LS,Summer,2022,30,0,30,3.87,INT
ACOSTA-ALVEAR,MCDB    596,Fall,2019,4,0,4,4.00,MCDB
ACOSTA-ALVEAR,MCDB    199,Fall,2019,2,0,2,4.00,MCDB
ACOSTA-ALVEAR,MCDB    108A,Fall,2019,217,0,217,2.66,MCDB
ACOSTA-ALVEAR,MCDB    108A,Fall,2020,306,0,306,2.79,MCDB
ACOSTA-ALVEAR,MCDB    223,Spring,2020,19,0,19,3.43,MCDB
ACOSTA-ALVEAR,MCDB    220B,Winter,2020,18,0,18,3.93,MCDB
ADAMS A J,ARTHI   257A,Fall,2019,5,0,5,4.00,ARTHI
ADAMS A J,ARTHI   111B,Fall,2019,37,0,37,3.04,ARTHI
ADAMS A J,ARTHI   111B,Fall,2020,51,0,51,3.44,ARTHI
ADAMS A J,ARTHI   111B,Spring,2023,36,0,36,3.69,ARTHI
ADAMS A J,ARTHI     6B,Fall,2021,285,0,285,3.28,ARTHI
ADAMS A J,ARTHI   186A,Spring,2023,7,0,7,3.86,ARTHI
ADAMS A J,ARTHI   111C,Winter,2020,39,0,39,3.34,ARTHI
ADAMS A J,ARTHI   111C,Winter,2021,26,0,26,3.79,ARTHI
ADAMS A J,ARTHI   111C,Winter,2022,39,0,39,2.63,ARTHI
ADAMS A J,ARTHI   186G,Winter,2022,9,0,9,4.00,ARTHI
ADAMS B,HIST    174B,Fall,2020,40,0,40,3.65,HIST
ADAMS B,HIST    167CB,Fall,2020,42,0,42,3.71,HIST
ADAMS B,HIST    167CA,Fall,2021,41,0,41,3.85,HIST
ADAMS B,HIST    167CA,Winter,2021,36,0,36,3.99,HIST
ADAMS B,HIST    167CA,Winter,2023,40,0,40,3.96,HIST
ADAMS B,HIST     17A,Fall,2022,376,0,376,3.75,HIST
ADAMS B,HIST    173T,Spring,2021,43,0,43,3.98,HIST
ADAMS B,HIST    173T,Summer,2021,24,0,24,3.92,HIST
ADAMS B,HIST    173T,Winter,2022,42,0,42,3.84,HIST
ADAMS B,HIST    178A,Spring,2022,42,0,42,3.80,HIST
ADAMS B,HIST    178A,Winter,2021,41,0,41,3.97,HIST
ADAMS B,HIST    177,Spring,2022,131,0,131,3.76,HIST
ADAMS B,HIST    177,Spring,2023,141,0,141,3.76,HIST
ADAMS B,HIST    166R,Winter,2022,14,0,14,3.75,HIST
ADAMS B,HIST    166R,Winter,2023,14,0,14,3.84,HIST
ADAMS E E,ART      14,Fall,2019,17,0,17,3.18,ART
ADAMS J V,EARTH     6,Fall,2019,22,0,22,3.21,EARTH
ADAMS J V,EARTH   123,Summer,2020,27,0,27,3.01,EARTH
ADLER-KASSNER,INT     199DC,Fall,2019,22,0,22,3.75,INT
ADLER-KASSNER,INT      36IA,Fall,2019,17,0,17,3.89,INT
ADORNETTO D,TMP     421,Fall,2019,43,0,43,3.45,TMP
AFARY J,RG ST   596,Fall,2019,1,0,1,4.00,RG
AFARY J,RG ST   198,Fall,2019,4,0,4,4.00,RG
AFARY J,RG ST   181F,Fall,2019,16,0,16,3.25,RG
AFARY J,RG ST   181F,Winter,2022,16,0,16,3.53,RG
AFARY J,RG ST   198IS,Fall,2020,12,0,12,4.00,RG
AFARY J,RG ST   198IS,Winter,2021,14,0,14,4.00,RG
AFARY J,RG ST   187A,Fall,2020,14,0,14,3.57,RG
AFARY J,RG ST   187A,Winter,2023,12,0,12,3.74,RG
AFARY J,RG ST   112,Fall,2020,21,0,21,3.59,RG
AFARY J,RG ST   112,Winter,2022,23,0,23,2.86,RG
AFARY J,RG ST   112,Winter,2023,23,0,23,3.17,RG
AFARY J,RG ST   111,Spring,2021,23,0,23,3.30,RG
AFARY J,RG ST   111,Spring,2022,24,0,24,3.54,RG
AFARY J,RG ST   111,Spring,2023,23,0,23,3.16,RG
AFARY J,RG ST    81,Spring,2021,24,0,24,3.55,RG
AFARY J,RG ST    81,Spring,2022,23,0,23,2.68,RG
AFARY J,RG ST    81,Spring,2023,9,0,9,3.71,RG
AFARY J,HIST     46MI,Spring,2021,24,0,24,3.40,HIST
AFARY J,HIST     46MI,Spring,2022,25,0,25,3.42,HIST
AFARY J,HIST     46MI,Spring,2023,19,0,19,3.48,HIST
AFIFI T D,COMM    593A,Fall,2019,1,0,1,4.00,COMM
AFIFI T D,COMM    199RA,Fall,2019,24,0,24,4.00,COMM
AFIFI T D,COMM    199RA,Spring,2020,30,0,30,4.00,COMM
AFIFI T D,COMM    199RA,Winter,2020,24,0,24,4.00,COMM
AFIFI T D,COMM    199RA,Winter,2021,10,0,10,4.00,COMM
AFIFI T D,COMM    151,Fall,2022,74,0,74,3.04,COMM
AFIFI T D,COMM    151,Spring,2020,74,0,74,3.56,COMM
AFIFI T D,COMM    151,Summer,2020,43,0,43,3.30,COMM
AFIFI T D,COMM    124,Spring,2020,72,0,72,3.72,COMM
AFIFI T D,COMM    124,Spring,2021,150,0,150,3.15,COMM
AFIFI T D,COMM    124,Spring,2022,77,0,77,3.62,COMM
AFIFI T D,COMM    124,Summer,2021,44,0,44,3.35,COMM
AFIFI T D,COMM    124,Summer,2022,50,0,50,3.47,COMM
AFIFI T D,COMM    124,Summer,2023,36,0,36,3.01,COMM
AFIFI T D,COMM    124,Winter,2020,66,0,66,3.50,COMM
AFIFI T D,COMM    124,Winter,2021,76,0,76,3.53,COMM
AFIFI T D,COMM    124,Winter,2023,162,0,162,3.25,COMM
AFIFI T D,COMM    251,Spring,2021,11,0,11,4.00,COMM
AFIFI T D,COMM    224,Winter,2022,10,0,10,3.93,COMM
AFIFI W A,COMM    199RA,Fall,2019,5,0,5,4.00,COMM
AFIFI W A,COMM    168,Fall,2019,76,0,76,3.53,COMM
AFIFI W A,COMM    168,Fall,2021,76,0,76,3.74,COMM
AFIFI W A,COMM    194,Fall,2020,5,0,5,4.00,COMM
AFIFI W A,COMM    194,Spring,2020,6,0,6,4.00,COMM
AFIFI W A,COMM    194,Winter,2020,16,0,16,4.00,COMM
AFIFI W A,COMM     89,Fall,2020,276,0,276,2.88,COMM
AFIFI W A,COMM     89,Spring,2020,247,0,247,3.05,COMM
AFIFI W A,COMM     89,Summer,2020,50,0,50,3.35,COMM
AFIFI W A,COMM     89,Winter,2022,169,0,169,2.68,COMM
AFIFI W A,COMM     89,Winter,2023,162,0,162,2.87,COMM
AFIFI W A,COMM    111,Fall,2021,132,0,132,3.04,COMM
AFIFI W A,COMM    111,Summer,2021,59,0,59,2.93,COMM
AFIFI W A,COMM    594CE,Fall,2022,8,0,8,3.96,COMM
AFIFI W A,COMM    107,Summer,2020,40,0,40,3.22,COMM
AFIFI W A,COMM    107,Winter,2021,78,0,78,3.13,COMM
AFIFI W A,COMM    160UC,Summer,2022,19,0,19,3.40,COMM
AFIFI W A,COMM    160UC,Summer,2023,16,0,16,3.46,COMM
AGBOOLA A,MATH      8,Fall,2019,33,0,33,2.63,MATH
AGBOOLA A,MATH      8,Fall,2021,32,0,32,3.19,MATH
AGBOOLA A,MATH      8,Spring,2022,34,0,34,3.03,MATH
AGBOOLA A,MATH    225A,Fall,2021,19,0,19,3.95,MATH
AGBOOLA A,MATH    122B,Spring,2021,14,0,14,3.29,MATH
AGBOOLA A,MATH    108A,Spring,2021,50,0,50,3.12,MATH
AGBOOLA A,MATH    115A,Winter,2020,41,0,41,3.14,MATH
AGBOOLA A,MATH    122A,Winter,2021,54,0,54,2.80,MATH
AGBOOLA A,MATH      3B,Winter,2022,177,0,177,2.98,MATH
AGEY E R,ANTH    151T,Spring,2023,38,0,38,3.85,ANTH
AGEY E R,ANTH      5,Summer,2022,12,0,12,3.56,ANTH
AGHAPOUR A A,RG ST   172A,Spring,2021,26,0,26,3.57,RG
AGRAWAL D,CMPSC   596,Fall,2019,2,0,2,4.00,CMPSC
AGRAWAL D,CMPSC   130A,Fall,2020,88,0,88,3.31,CMPSC
AGRAWAL D,CMPSC   130A,Fall,2021,90,0,90,3.64,CMPSC
AGRAWAL D,CMPSC   130A,Spring,2020,75,0,75,3.58,CMPSC
AGRAWAL D,CMPSC    24,Fall,2020,55,0,55,3.23,CMPSC
AGRAWAL D,CMPSC    24,Winter,2020,110,0,110,3.78,CMPSC
AGRAWAL D,CMPSC   274,Fall,2022,21,0,21,3.99,CMPSC
AGRAWAL D,CMPSC   174B,Winter,2022,10,0,10,3.57,CMPSC
AGRAWAL D,CMPSC   174B,Winter,2023,38,0,38,3.36,CMPSC
AGRAWAL S G,MCDB    126AL,Fall,2019,35,0,35,3.59,MCDB
AGUILAR M,SPAN W    2,Summer,2020,13,0,13,2.83,SPAN
AHMAD A A,RG ST   119B,Fall,2020,11,0,11,3.15,RG
AHMAD A A,RG ST   190FS,Spring,2020,10,0,10,3.00,RG
AHMAD A A,RG ST   119C,Spring,2021,12,0,12,2.73,RG
AHMAD A A,RG ST     6,Spring,2021,45,0,45,2.69,RG
AHMAD A A,RG ST     6,Spring,2023,49,0,49,2.96,RG
AHMAD A A,RG ST   125A,Spring,2022,36,0,36,3.16,RG
AHMAD A A,RG ST   119A,Spring,2023,37,0,37,2.94,RG
AHMAD A A,RG ST   119A,Winter,2020,25,0,25,2.85,RG
AHMAD A A,RG ST   119A,Winter,2022,22,0,22,2.78,RG
AHMAD A A,RG ST     2,Winter,2022,51,0,51,3.17,RG
AHMAD A A,RG ST   280,Winter,2023,6,0,6,3.50,RG
AHMED J,GLOBL   124,Summer,2021,33,0,33,2.89,GLOBL
AHMED J,GLOBL   124,Summer,2022,24,0,24,2.77,GLOBL
AHMED J,GLOBL     2,Summer,2021,53,0,53,3.10,GLOBL
AHMED J,GLOBL     2,Summer,2023,30,0,30,3.78,GLOBL
AHMED N S,ENGL     10,Summer,2022,24,0,24,3.69,ENGL
AHUJA A,POL S   199RA,Fall,2019,1,0,1,4.00,POL
AHUJA A,POL S   199RA,Winter,2020,6,0,6,3.95,POL
AHUJA A,POL S   106MI,Fall,2019,81,0,81,3.02,POL
AHUJA A,POL S   133,Fall,2020,78,0,78,3.26,POL
AHUJA A,POL S   230,Winter,2020,6,0,6,3.63,POL
AHUJA A,POL S     6,Winter,2021,114,0,114,3.19,POL
AIRAME S,ESM     595GP,Spring,2020,3,0,3,2.67,ESM
AIRAME S,ESM     595GP,Spring,2021,3,0,3,4.00,ESM
AIRAME S,ESM     595GP,Spring,2022,5,0,5,3.80,ESM
AKEMANN C A,MATH    228A,Fall,2019,14,0,14,3.56,MATH
AKEMANN C A,MATH    199,Fall,2019,1,0,1,3.70,MATH
AKEMANN C A,MATH     34A,Fall,2019,698,0,698,2.35,MATH
AKEMANN C A,MATH     34A,Winter,2021,226,0,226,3.63,MATH
AKEMANN C A,MATH    118A,Fall,2020,60,0,60,3.03,MATH
AKEMANN C A,MATH    118C,Spring,2021,8,0,8,3.00,MATH
AKEMANN C A,MATH    122A,Summer,2020,96,0,96,3.72,MATH
AKEMANN C A,MATH    119A,Summer,2023,45,0,45,2.73,MATH
AKEMANN C A,MATH     34B,Winter,2020,392,0,392,3.73,MATH
AKEMANN C A,MATH    118B,Winter,2021,34,0,34,2.93,MATH
AKUDINOBI J,BL ST   165,Fall,2019,66,0,66,3.44,BL
AKUDINOBI J,BL ST   165,Fall,2020,52,0,52,3.56,BL
AKUDINOBI J,BL ST   161,Fall,2019,63,0,63,3.44,BL
AKUDINOBI J,BL ST   161,Winter,2021,51,0,51,3.51,BL
AKUDINOBI J,BL ST   162,Fall,2020,45,0,45,3.68,BL
AKUDINOBI J,BL ST   162,Fall,2022,50,0,50,3.60,BL
AKUDINOBI J,BL ST   172,Fall,2021,59,0,59,3.18,BL
AKUDINOBI J,BL ST   152,Fall,2021,56,0,56,3.41,BL
AKUDINOBI J,BL ST   152,Winter,2023,26,0,26,3.40,BL
AKUDINOBI J,BL ST   175,Fall,2022,31,0,31,3.18,BL
