Name,Departments,Rating,Difficulty,Courses
Zamira Yusufjonova-Abman,History,4.6,3.6,HIST 46B
Dylan Abney,Philosophy,4.5,3,"PHIL 3, PHIL 4"
Gordon Abra,"Sociology; Communication",5,4.3,"SOC 174, COMM 182, COMM 142, SOC 172, COMM 177, COMM 164, COMM 180, COMM 181B, COMM 150, SOC 173, COMM 181A, COMM 176"
Abrams Karl,Chemistry,4.8,2.7,CHEM 147
Mahdi Abu-Omar,Chemistry,5,2.8,"CHEM 596, CHEM 2A, CHEM 275, CHEM 175, CHEM 2CC, CHEM 2C, CHEM 271, CHEM 171, CHEM 173B, CHEM 268B"
Liz Ackert,Geography,4.9,3.1,"GEOG 108, GEOG 5, GEOG 254"
Diego Acosta-Alvear,"Molecular, Celluluar, & Developmental Biology",2.6,4.2,"MCDB 596, MCDB 199, MCDB 108A, MCDB 223, MCDB 220B"
Branden Adams,History,4,2.9,"HIST 174B, HIST 167CB, HIST 167CA, HIST 17A, HIST 173T, HIST 178A, HIST 177, HIST 166R"
Janet Afary,"Religious Studies; History",3.6,3.1,"RG ST 596, RG ST 198, RG ST 181F, RG ST 198IS, RG ST 187A, RG ST 112, RG ST 111, RG ST 81, HIST 46MI"
Tammy Afifi,Communication,4.5,2.9,"COMM 593A, COMM 199RA, COMM 151, COMM 124, COMM 251, COMM 224"
Walid Afifi,Communication,3.8,3.1,"COMM 199RA, COMM 168, COMM 194, COMM 89, COMM 111, COMM 594CE, COMM 107, COMM 160UC"
Adebisi Agboola,Mathematics,3.3,4.9,"MATH 8, MATH 225A, MATH 122B, MATH 108A, MATH 115A, MATH 122A, MATH 3B"
Divyakant Agrawal,Computer Science,3.1,3.5,"CMPSC 596, CMPSC 130A, CMPSC 24, CMPSC 274, CMPSC 174B"
Swati Agrawal,"Molecular, Celluluar, & Developmental Biology",4,4,MCDB 126AL
