Name,Departments,Rating,Difficulty,Courses
Gordon Abra,Sociology; Communication,5,4.3,"SOC 172, COMM 164, SOC 173, COMM 176, COMM 150"
Mahdi Abu-Omar,Chemistry,5,2.8,"CHEM 173B, CHEM 2A, CHEM 2C, CHEM 2CC, CHEM 171"
Liz Ackert,Geography,4.9,3.1,"GEOG 5, GEOG 108, GEOG 254"
Diego Acosta-Alvear,Biology,2.6,4.2,"MCDB 108A, MCDB 223, MCDB 220B, MCDB 596, MCDB 199"
Branden Adams,History,4,2.9,"HIST 17A, HIST 177, HIST 167CB, HIST 178A, HIST 174B"
Janet Afary,Religion; Religious Studies; History,3.6,3.1,"RG ST 111, HIST 46MI, RG ST 112, RG ST 81, RG ST 181F"
Tammy Afifi,Communication,4.5,2.9,"COMM 124, COMM 151, COMM 199RA, COMM 251, COMM 224"
Walid Afifi,Communication,3.8,3.1,"COMM 89, COMM 111, COMM 168, COMM 107, COMM 160UC"
Adebisi Agboola,Mathematics,3.3,4.9,"MATH 3B, MATH 122A, MATH 108A, MATH 115A, MATH 8"
Divyakant Agrawal,Computer Science,3.1,3.5,"CMPSC 130A, CMPSC 24, CMPSC 174B, CMPSC 274, CMPSC 596"
Ahmad Ahmad,Religion; Religious Studies,3,3,"RG ST 2, RG ST 6, RG ST 125A, RG ST 119A, RG ST 119C"
Amit Ahuja,Political Science,4.1,3.5,"POL S 6, POL S 106MI, POL S 133, POL S 230, POL S 199RA"
Charles Akemann,Mathematics,2.4,4.1,"MATH 34A, MATH 34B, MATH 122A, MATH 118A, MATH 119A"
Nicole Albada,Psychology,5,3.5,"PSY 10A, PSY 10B, PSY 151, PSY W 1, PSY 160NA"
Paul Alessio,Geology,5,2.3,"EARTH 20, EARTHW 20, ENV S 134, EARTH 113, ENV S 113"
Mahnoosh Alizadeh,Electrical & Comp. Engineering,3.7,2.7,"ECE 10C, ECE 10CL, ECE 194B, ECE 240, ECE 594B"
Jaime Alves,Black Studies,2.8,3.6,"BL ST 2, BL ST 174, BL ST 117, BL ST 208, BL ST 190C"
Paul Amar,Global & International Studies; Literature,3.9,2.9,"GLOBL 120, GLOBL 162, C LIT 162, GLOBL 196, GLOBL 247"
Aryeh Amihay,Religion; Religious Studies,4.6,2.3,"RG ST 5, RG ST 26, RG ST 133C, RG ST 10, RG ST 133D"
Prabhanjan Ananth,Computer Science,3.5,4.3,"CMPSC 138, CMPSC 178, CMPSC 292G"
Allison Anders,Film,4.6,1.5,"FAMST 55BE, FAMST 55DD, FAMST 165DK, FAMST 188AU"
Kevin Anderson,Sociology,3.6,2.9,"SOC 185A, SOC 185M, SOC 130ME, SOC 130A, SOC 232"
Anderson Ohan,Geology,4.2,2,"EARTH 10, EARTH 123"
Bernadette Andrea,English; Literature,4.1,3.5,"C LIT 30B, ENGL 145, ENGL 165EM, ENGL 128ML, ENGL 197"
Mercy Anyika,Chemistry,3.8,4.3,"CHEM 1C, CHEM 25, CHEM 1B, CHEM 109B, CHEM 109A"
Irwin Appel,Theater,4.2,2.1,"THTR 188S, INT 35LT, INT 84CD, THTR 144A, THTR 144B"
Carolina Gonzalez,Biology,1,3.5,"MCDB 134, MCDB 230, MCDB 134H, MCDB 218B, MCDB 218A"
Ralph Armbruster-Sandoval,Chicano Studies,4.4,2.5,"CH ST 1A, CH ST 168F, CH ST 175, CH ST 190, CH ST 169"
Katya Armistead,Education; Religion; Religious Studies,3.5,1.6,"ED 20, ED 118, ED 173, INT 102, RG ST 188B"
Elena Aronova,History,4.1,2.9,"HIST 20, HIST 105CW, HIST 107C, HIST 107S, HIST 201HS"
Diana Arya,Education,5,1.4,"ED 124, ED 139, ED 221A, ED 199, ED 221EE"
Charles Asche,Music,4.9,4.6,"MUS 33, MUS 133, MUS A 144, MUS A 244, MUS 220"
Frank Ashby,Psychology,5,4,"PSY 221B, PSY 265, PSY 221E, PSY 199, PSY 99"
Manaíra Athayde,History; Spanish,5,2,"LAIS 10, LAIS 101, LAIS 102, SPAN 107"
Paul Atzberger,Mathematics,2.8,2.9,"MATH 4B, MATH 104C, MATH 104B, MATH 104A, MATH 260HH"
Zhirayr Avetisyan,Mathematics,2,4.3,"MATH 6B, MATH 3A, MATH 119A, MATH 117, MATH 8"
Stanley Awramik,Geology,4,4,"EARTH 2, EARTH 30, EARTH 3, EARTH 199, EARTH 596"
Olga Azarenko,Biology,2.6,4.1,"MCDB 6, MCDB 126, MCDB 126B"
Katie Baillargeon,Writing,5,2.4,"WRIT 2, WRIT 107L, WRIT 109SS, WRIT 105R, WRIT 109HU"
Andrew Baker,Linguistics,4.8,2.5,"LING 3C, LING 3B, LING W 12, LING 12, LING 8"
John Baldwin,Sociology,3.9,3.8,"SOC 152A, SOC 142, SOC 152C, SOC 152B, SOC 142A"
Janice Baldwin,Sociology,4.3,3.3,"SOC 152A, SOC 152C, SOC 152B, SOC 199"
Jonathan Balkind,Computer Science,4.6,4,"CMPSC 154, CMPSC 254, CMPSC 196"
Paul Bambach,Music,4.3,1.7,"MUS A 34, MUS A 134, MUS 27B, MUS A 44, MUS A 234"
Ingrid Banks,Black Studies,3,5,"BL ST 1, BL ST 169BR, BL ST 190, BL ST 180, BL ST 190C"
Sudeep Bapat,Statistics,4.4,3,"PSTAT 126, PSTAT 122, PSTAT 120B, PSTAT 109, PSTAT 199"
Anthony Barbieri-Low,History,3.9,3.3,"HIST 2A, HIST W 80, HIST W 2A, HIST 184A, HIST 184E"
Damien Barnes,Philosophy,4.5,2.5,"PHIL 20A, PHIL 20C, PHIL 163, PHIL 164"
Brendan Barnwell,Linguistics,4,4,"LING 137, LING 127, LING 146, LING 110, LING 111"
Lint Barrage,Economics,2.1,4.5,"ECON 2, ECON 260J"
Thomas Barrett,Philosophy,5,3,"PHIL 3, PHIL 100F, PHIL 124A, PHIL 185, PHIL 299C"
Vilna Bashi Treitler,Black Studies,4,1.5,"BL ST 4, BL ST 137E, BL ST 155, BL ST 208"
Stephanie Batiste,English,2.7,3.9,"ENGL 191, ENGL 176ML, ENGL 109, ENGL 183WP, ENGL 197"
jean beaman,Sociology,2.9,3.1,"SOC 139RN, SOC 128, SOC 216D"
Marc Becker,Mathematics,3,3.8,"MATH 3B, MATH 6B, MATH 6A, MATH 2B, MATH 108A"
Laurel Beckman,Fine Arts,3.5,3.9,"ART 244, ART 113, ART 196"
Kelly Bedard,Economics,3.1,3.8,"ECON 1, ECON 9, ECON 95, ECON 191D, ECON 199RA"
Matthew Begley,Mechanical Engineering,5,2.5,"ME 156B, ME 186B, ME 275, MATRL 207, ME 225MB"
Elizabeth Belding,Computer Science,3.4,4.1,"CMPSC 176A, CMPSC 196, CMPSC 596"
