Name,Departments,Rating,Difficulty,Courses
Gordon Abra,Sociology; Communication,5,4.3,"SOC 172, COMM 164, SOC 173, COMM 176, COMM 150"
Mahdi Abu-Omar,Chemistry,5,2.8,"CHEM 173B, CHEM 2A, CHEM 2C, CHEM 2CC, CHEM 171"
Liz Ackert,Geography,4.9,3.1,"GEOG 5, GEOG 108, GEOG 254"
Diego Acosta-Alvear,Biology,2.6,4.2,"MCDB 108A, MCDB 223, MCDB 220B, MCDB 596, MCDB 199"
Branden Adams,History,4,2.9,"HIST 17A, HIST 177, HIST 167CB, HIST 178A, HIST 174B"
Janet Afary,Religion; Religious Studies; History,3.6,3.1,"RG ST 111, HIST 46MI, RG ST 112, RG ST 81, RG ST 181F"
Tammy Afifi,Communication,4.5,2.9,"COMM 124, COMM 151, COMM 199RA, COMM 251, COMM 224"
Walid Afifi,Communication,3.8,3.1,"COMM 89, COMM 111, COMM 168, COMM 107, COMM 160UC"
Adebisi Agboola,Mathematics,3.3,4.9,"MATH 3B, MATH 122A, MATH 108A, MATH 115A, MATH 8"
Divyakant Agrawal,Computer Science,3.1,3.5,"CMPSC 130A, CMPSC 24, CMPSC 174B, CMPSC 274, CMPSC 596"
Ahmad Ahmad,Religion; Religious Studies,3,3,"RG ST 2, RG ST 6, RG ST 125A, RG ST 119A, RG ST 119C"
Amit Ahuja,Political Science,4.1,3.5,"POL S 6, POL S 106MI, POL S 133, POL S 230, POL S 199RA"
Charles Akemann,Mathematics,2.4,4.1,"MATH 34A, MATH 34B, MATH 122A, MATH 118A, MATH 119A"
Nicole Albada,Psychology,5,3.5,"PSY 10A, PSY 10B, PSY 151, PSY W 1, PSY 160NA"
Paul Alessio,Geology,5,2.3,"EARTH 20, EARTHW 20, ENV S 134, EARTH 113, ENV S 113"
Mahnoosh Alizadeh,Electrical & Comp. Engineering,3.7,2.7,"ECE 10C, ECE 10CL, ECE 194B, ECE 240, ECE 594B"
